,Room Heat Gain [W]
72.0,-4.7346204534611696
72.01666666666667,-4.788769220320118
72.03333333333333,-4.826009013143983
72.05,-4.853355768475577
72.06666666666666,-4.874882508482987
72.08333333333333,-4.892955948940126
72.1,-4.90895292419137
72.11666666666666,-4.923675605918929
72.13333333333334,-4.937592265540343
72.15,-4.950976960105637
72.16666666666667,-4.963990635870194
72.18333333333334,-4.976728262718469
72.2,-4.989246262479723
72.21666666666667,-5.001578497566318
72.23333333333333,-5.013745613764623
72.25,-5.025760518646086
72.26666666666667,-5.037631608909703
72.28333333333333,-5.049364684849847
72.3,-5.060964095610886
72.31666666666666,-5.072433432129249
72.33333333333333,-5.083775951838887
72.35,-5.0949948421756215
72.36666666666666,-5.106093385749913
72.38333333333334,-5.117075064270371
72.4,-5.127943621842553
72.41666666666667,-5.138703101894775
72.43333333333334,-5.149357865257525
72.45,-5.159912594090209
72.46666666666667,-5.170372286264353
72.48333333333333,-5.180742241110185
72.5,-5.191028039407145
72.51666666666667,-5.20123551909442
72.53333333333333,-5.2113707473629045
72.55,-5.221439990183243
72.56666666666666,-5.231449680858081
72.58333333333333,-5.241406387390073
72.6,-5.251316780320652
72.61666666666666,-5.261187600300165
72.63333333333334,-5.271025627358222
72.65,-5.280837651075444
72.66666666666667,-5.290630442162861
72.68333333333334,-5.300410726055247
72.7,-5.310185158447765
72.71666666666667,-5.319960302770929
72.73333333333333,-5.329742609603344
72.75,-5.339538398454097
72.76666666666667,-5.3493538413215145
72.78333333333333,-5.359194948723962
72.8,-5.369067556781784
72.81666666666666,-5.378977317287698
72.83333333333333,-5.388929688636105
72.85,-5.398929928857675
72.86666666666666,-5.408983089866634
72.88333333333334,-5.419094013636584
72.9,-5.429267329118064
72.91666666666667,-5.439507450698807
72.93333333333334,-5.449818577772009
72.95,-5.460204694842703
72.96666666666667,-5.47066957306181
72.98333333333333,-5.481216772218659
73.0,-5.491849643477807
73.01666666666667,-5.46153383272574
73.03333333333333,-5.4481175360373
73.05,-5.444585360931732
73.06666666666666,-5.446864802550336
73.08333333333333,-5.452589636373159
73.1,-5.4603834934494255
73.11666666666666,-5.469444641516607
73.13333333333334,-5.479305223676923
73.15,-5.489691571988912
73.16666666666667,-5.500443103822905
73.18333333333334,-5.511465186776593
73.2,-5.522701709066534
73.21666666666667,-5.534119089366455
73.23333333333333,-5.5456969316170825
73.25,-5.557422544255132
73.26666666666667,-5.569287709720709
73.28333333333333,-5.581286767236209
73.3,-5.593415464818975
73.31666666666666,-5.60567026388112
73.33333333333333,-5.618047912319063
73.35,-5.630545179810713
73.36666666666666,-5.643158691340614
73.38333333333334,-5.655884824296887
73.4,-5.668719644884145
73.41666666666667,-5.681658873009735
73.43333333333334,-5.694697866608817
73.45,-5.707831619878872
73.46666666666667,-5.721054772700089
73.48333333333333,-5.73436162815276
73.5,-5.747746176381126
73.51666666666667,-5.761202123599348
73.53333333333333,-5.774722923933049
73.55,-5.788301814260672
73.56666666666666,-5.801931850110585
73.58333333333333,-5.81560594245625
73.6,-5.829316894068589
73.61666666666666,-5.843057435307889
73.63333333333334,-5.856820259108789
73.65,-5.870598053809401
73.66666666666667,-5.884383534673649
73.68333333333334,-5.898169472812276
73.7,-5.9119487225241
73.71666666666667,-5.9257142455929435
73.73333333333333,-5.939459133721323
73.75,-5.953176628528817
73.76666666666667,-5.966860138987083
73.78333333333333,-5.98050325666314
73.8,-5.994099769066971
73.81666666666666,-6.007643670567169
73.83333333333333,-6.021129171272749
73.85,-6.034550704664938
73.86666666666666,-6.04790293287651
73.88333333333334,-6.061180750652996
73.9,-6.074379287997135
73.91666666666667,-6.0874939112910775
73.93333333333334,-6.100520223411032
73.95,-6.113454062594689
73.96666666666667,-6.1262915007021475
73.98333333333333,-6.139028839969258
74.0,-6.151662610099989
74.01666666666667,-6.133411438596977
74.03333333333333,-6.12765623488724
74.05,-6.129130578252963
74.06666666666666,-6.134775565542986
74.08333333333333,-6.142812346157822
74.1,-6.152204793672703
74.11666666666666,-6.1623480818893315
74.13333333333334,-6.172888103099952
74.15,-6.18361669445225
74.16666666666667,-6.194410801591297
74.18333333333334,-6.2051971201542715
74.2,-6.215931518372922
74.21666666666667,-6.226587040817268
74.23333333333333,-6.237146897959561
74.25,-6.247600355615085
74.26666666666667,-6.257940313348668
74.28333333333333,-6.26816186867112
74.3,-6.2782614582360985
74.31666666666666,-6.288236337898687
74.33333333333333,-6.298084264098194
74.35,-6.307803294385724
74.36666666666666,-6.317391661203335
74.38333333333334,-6.326847690271908
74.4,-6.336169747634729
74.41666666666667,-6.345356205145939
74.43333333333334,-6.3544054191046335
74.45,-6.363315717411009
74.46666666666667,-6.372085393563646
74.48333333333333,-6.38071270531644
74.5,-6.389195877212213
74.51666666666667,-6.397533105758953
74.53333333333333,-6.405722566724815
74.55,-6.4137624240373805
74.56666666666666,-6.421650839365452
74.58333333333333,-6.429385982810678
74.6,-6.436966043433203
74.61666666666666,-6.444389239722424
74.63333333333334,-6.451653830380701
74.65,-6.458758124021779
74.66666666666667,-6.465700488658683
74.68333333333334,-6.472479360424071
74.7,-6.479093251375101
74.71666666666667,-6.485540756794326
74.73333333333333,-6.491820561328624
74.75,-6.497931444485013
74.76666666666667,-6.503872285031752
74.78333333333333,-6.509642064933321
74.8,-6.515239872211513
74.81666666666666,-6.520664903164167
74.83333333333333,-6.5259164636304225
74.85,-6.530993970172669
74.86666666666666,-6.535896949812051
74.88333333333334,-6.5406250401876
74.9,-6.5451779881087
74.91666666666667,-6.54955564860367
74.93333333333334,-6.553757983154113
74.95,-6.557785057457666
74.96666666666667,-6.561637039040462
74.98333333333333,-6.565314194643903
75.0,-6.568816887271036
75.01666666666667,-6.5413674481485256
75.03333333333333,-6.526350362019491
75.05,-6.518502656768396
75.06666666666666,-6.514768753466892
75.08333333333333,-6.513373003410645
75.1,-6.5132823625611955
75.11666666666666,-6.513894969751553
75.13333333333334,-6.514859568130183
75.15,-6.5159707337913115
75.16666666666667,-6.517108041858906
75.18333333333334,-6.518200710108401
75.2,-6.5192070230502015
75.21666666666667,-6.520102336898511
75.23333333333333,-6.520872070058586
75.25,-6.521507592592552
75.26666666666667,-6.522003804691705
75.28333333333333,-6.522357700832197
75.3,-6.522567510627527
75.31666666666666,-6.522632179086815
75.33333333333333,-6.522551048055822
75.35,-6.5223236574100385
75.36666666666666,-6.521949619940104
75.38333333333334,-6.521428541514123
75.4,-6.520759970076767
75.41666666666667,-6.51994336412068
75.43333333333334,-6.51897807437717
75.45,-6.517863334964614
75.46666666666667,-6.51659826136309
75.48333333333333,-6.515181853679023
75.5,-6.513613004059296
75.51666666666667,-6.511890506858579
75.53333333333333,-6.510013071078189
75.55,-6.507979334342652
75.56666666666666,-6.505787878013893
75.58333333333333,-6.503437242446595
75.6,-6.500925942998644
75.61666666666666,-6.498252485391591
75.63333333333334,-6.495415380551273
75.65,-6.49241315940659
75.66666666666667,-6.48924438599652
75.68333333333334,-6.485907670492433
