,Room Exergy Demand [W]
72.0,-0.06446294895841805
72.01666666666667,-0.06536563377882111
72.03333333333333,-0.06604015298165737
72.05,-0.06658113598424589
72.06666666666666,-0.06704365494761598
72.08333333333333,-0.06745978646467508
72.1,-0.0678482323241882
72.11666666666666,-0.06821991005420941
72.13333333333334,-0.06858120292979869
72.15,-0.06893585036598017
72.16666666666667,-0.06928604826831043
72.18333333333334,-0.06963309010971147
72.2,-0.06997774090617621
72.21666666666667,-0.07032045575298349
72.23333333333333,-0.07066150783959887
72.25,-0.07100106370434323
72.26666666666667,-0.0713392276846456
72.28333333333333,-0.07167606836239468
72.3,-0.07201163443819775
72.31666666666666,-0.07234596437775828
72.33333333333333,-0.07267909235821178
72.35,-0.07301105198684983
72.36666666666666,-0.07334187865839124
72.38333333333334,-0.07367161106224492
72.4,-0.07400029212349195
72.41666666666667,-0.07432796957447717
72.43333333333334,-0.07465469626019985
72.45,-0.07498053024146527
72.46666666666667,-0.07530553475976588
72.48333333333333,-0.0756297780750054
72.5,-0.07595333321631739
72.51666666666667,-0.07627627766633549
72.53333333333333,-0.076598692987725
72.55,-0.07692066440672762
72.56666666666666,-0.0772422803765943
72.58333333333333,-0.07756363211765094
72.6,-0.07788481315826927
72.61666666666666,-0.07820591886590386
72.63333333333334,-0.07852704599744183
72.65,-0.07884829225735243
72.66666666666667,-0.07916975587140664
72.68333333333334,-0.07949153518539495
72.7,-0.07981372828820486
72.71666666666667,-0.08013643265964372
72.73333333333333,-0.08045974484341355
72.75,-0.08078376015220068
72.76666666666667,-0.08110857239642706
72.78333333333333,-0.08143427364758751
72.8,-0.08176095401512487
72.81666666666666,-0.0820887014665954
72.83333333333333,-0.08241760165923952
72.85,-0.08274773780223565
72.86666666666666,-0.08307919053639161
72.88333333333334,-0.083412037842538
72.9,-0.0837463549607641
72.91666666666667,-0.08408221433301517
72.93333333333334,-0.08441968556266488
72.95,-0.08475883538244139
72.96666666666667,-0.08509972764467778
72.98333333333333,-0.08544242331906267
73.0,-0.0857869805024847
73.01666666666667,-0.08535915777029916
73.03333333333333,-0.08519530823378492
73.05,-0.08518593719678995
73.06666666666666,-0.08526744944372704
73.08333333333333,-0.08540287524086809
73.1,-0.08557069889963873
73.11666666666666,-0.08575838092153004
73.13333333333334,-0.08595859991788138
73.15,-0.08616707106768859
73.16666666666667,-0.08638127880944105
73.18333333333334,-0.0865997399228537
73.2,-0.08682157445908278
73.21666666666667,-0.08704625547887548
73.23333333333333,-0.0872734627119879
73.25,-0.08750299668409194
73.26666666666667,-0.08773472807227327
73.28333333333333,-0.0879685676302687
73.3,-0.08820444816801733
73.31666666666666,-0.08844231362675631
73.33333333333333,-0.0886821123653782
73.35,-0.08892379299228184
73.36666666666666,-0.08916730173947722
73.38333333333334,-0.08941258083561839
73.4,-0.08965956749731194
73.41666666666667,-0.08990819336887411
73.43333333333334,-0.09015838426876206
73.45,-0.09041006015598431
73.46666666666667,-0.0906631352738528
73.48333333333333,-0.09091751842259424
73.5,-0.09117311333336484
73.51666666666667,-0.09142981912476147
73.53333333333333,-0.09168753080542696
73.55,-0.09194613982540409
73.56666666666666,-0.09220553464545365
73.58333333333333,-0.09246560132181775
73.6,-0.09272622408511673
73.61666666666666,-0.09298728591144505
73.63333333333334,-0.09324866908169105
73.65,-0.0935102557075247
73.66666666666667,-0.09377192823748248
73.68333333333334,-0.0940335699224269
73.7,-0.09429506525654137
73.71666666666667,-0.09455630037042863
73.73333333333333,-0.09481716339501395
73.75,-0.09507754478703802
73.76666666666667,-0.09533733761398333
73.78333333333333,-0.09559643780428523
73.8,-0.09585474436744366
73.81666666666666,-0.09611215957539682
73.83333333333333,-0.09636858911144543
73.85,-0.09662394219917107
73.86666666666666,-0.09687813169367847
73.88333333333334,-0.0971310741516299
73.9,-0.09738268988005952
73.91666666666667,-0.09763290296063058
73.93333333333334,-0.09788164125753318
73.95,-0.09812883640517267
73.96666666666667,-0.09837442378586642
73.98333333333333,-0.09861834248310401
74.0,-0.09886053523994844
74.01666666666667,-0.09849490291110105
74.03333333333333,-0.09833032336725969
74.05,-0.09828177762351614
74.06666666666666,-0.09829992156588184
74.08333333333333,-0.09835608227854108
74.1,-0.09843357231162718
74.11666666666666,-0.09852265932699786
74.13333333333334,-0.09861765130031341
74.15,-0.09871520654602314
74.16666666666667,-0.09881335312259976
74.18333333333334,-0.09891091929431532
74.2,-0.09900720230309695
74.21666666666667,-0.09910177539542361
74.23333333333333,-0.09919437512381851
74.25,-0.09928483530715548
74.26666666666667,-0.09937304814902513
74.28333333333333,-0.09945894119775464
74.3,-0.0995424635736916
74.31666666666666,-0.09962357763639651
74.33333333333333,-0.0997022538822899
74.35,-0.09977846775367812
74.36666666666666,-0.09985219762238039
74.38333333333334,-0.09992342348857532
74.4,-0.09999212613879285
74.41666666666667,-0.1000582865992885
74.43333333333334,-0.10012188579947012
74.45,-0.1001829043713039
74.46666666666667,-0.10024132255741498
74.48333333333333,-0.10029712019289314
74.5,-0.10035027674803526
74.51666666666667,-0.10040077141226951
74.53333333333333,-0.10044858321076197
74.55,-0.10049369114542799
74.56666666666666,-0.1005360743457637
74.58333333333333,-0.10057571223607104
74.6,-0.10061258469906048
74.61666666666666,-0.10064667223756248
74.63333333333334,-0.10067795614006875
74.65,-0.10070641862831428
74.66666666666667,-0.10073204300060051
74.68333333333334,-0.10075481376222886
74.7,-0.1007747167408239
74.71666666666667,-0.10079173919302793
74.73333333333333,-0.10080586989242124
74.75,-0.10081709920681874
74.76666666666667,-0.10082541915804212
74.78333333333333,-0.1008308234739823
74.8,-0.1008333076236501
74.81666666666666,-0.10083286884194749
74.83333333333333,-0.1008295061394801
74.85,-0.10082322031089587
74.86666666666666,-0.10081401392079316
74.88333333333334,-0.10080189129611307
74.9,-0.10078685849378137
74.91666666666667,-0.1007689232760634
74.93333333333334,-0.10074809507348355
74.95,-0.10072438494064591
74.96666666666667,-0.1006978055099437
74.98333333333333,-0.10066837094201943
75.0,-0.10063609687125356
75.01666666666667,-0.10001111252397617
75.03333333333333,-0.0995778121510867
75.05,-0.09925475594503587
75.06666666666666,-0.09899476343039193
75.08333333333333,-0.09877047882160857
75.1,-0.09856602545253335
75.11666666666666,-0.09837217862492575
75.13333333333334,-0.09818357215797666
75.15,-0.09799708083911719
75.16666666666667,-0.09781088306191875
75.18333333333334,-0.0976239170959857
75.2,-0.09743556526906709
75.21666666666667,-0.09724547020766267
75.23333333333333,-0.09705342765693316
75.25,-0.09685932374677973
75.26666666666667,-0.09666309810608811
75.28333333333333,-0.09646472203562458
75.3,-0.0962641854773021
75.31666666666666,-0.09606148915275184
75.33333333333333,-0.09585663976190097
75.35,-0.09564964700114077
75.36666666666666,-0.09544052169951305
75.38333333333334,-0.09522927464099763
75.4,-0.09501591582291861
75.41666666666667,-0.09480045400762475
75.43333333333334,-0.09458289647221066
