,Outdoor Air Temperature [°C]
72.0,-2.0
72.01666666666667,-2.013333333333321
72.03333333333333,-2.0266666666666424
72.05,-2.0400000000000205
72.06666666666666,-2.0533333333333417
72.08333333333333,-2.066666666666663
72.1,-2.079999999999984
72.11666666666666,-2.0933333333333053
72.13333333333334,-2.1066666666666833
72.15,-2.1200000000000045
72.16666666666667,-2.1333333333333258
72.18333333333334,-2.146666666666647
72.2,-2.160000000000025
72.21666666666667,-2.173333333333346
72.23333333333333,-2.1866666666666674
72.25,-2.1999999999999886
72.26666666666667,-2.21333333333331
72.28333333333333,-2.226666666666688
72.3,-2.240000000000009
72.31666666666666,-2.2533333333333303
72.33333333333333,-2.2666666666666515
72.35,-2.2799999999999727
72.36666666666666,-2.2933333333333508
72.38333333333334,-2.306666666666672
72.4,-2.319999999999993
72.41666666666667,-2.3333333333333144
72.43333333333334,-2.3466666666666924
72.45,-2.3600000000000136
72.46666666666667,-2.373333333333335
72.48333333333333,-2.386666666666656
72.5,-2.3999999999999773
72.51666666666667,-2.4133333333333553
72.53333333333333,-2.4266666666666765
72.55,-2.4399999999999977
72.56666666666666,-2.453333333333319
72.58333333333333,-2.466666666666697
72.6,-2.480000000000018
72.61666666666666,-2.4933333333333394
72.63333333333334,-2.5066666666666606
72.65,-2.5200000000000387
72.66666666666667,-2.53333333333336
72.68333333333334,-2.546666666666681
72.7,-2.5600000000000023
72.71666666666667,-2.5733333333333235
72.73333333333333,-2.5866666666667015
72.75,-2.6000000000000227
72.76666666666667,-2.613333333333344
72.78333333333333,-2.626666666666665
72.8,-2.6399999999999864
72.81666666666666,-2.6533333333333644
72.83333333333333,-2.6666666666666856
72.85,-2.680000000000007
72.86666666666666,-2.693333333333328
72.88333333333334,-2.7066666666666492
72.9,-2.7200000000000273
72.91666666666667,-2.7333333333333485
72.93333333333334,-2.7466666666666697
72.95,-2.759999999999991
72.96666666666667,-2.773333333333369
72.98333333333333,-2.78666666666669
73.0,-2.8000000000000114
73.01666666666667,-2.806666666666672
73.03333333333333,-2.8133333333333326
73.05,-2.819999999999993
73.06666666666666,-2.826666666666654
73.08333333333333,-2.8333333333333144
