,Indoor Air Temperature [°C]
72.0,-253.14999999999998
72.01666666666667,-253.14999999999998
72.03333333333333,-253.14999999999998
72.05,-253.14999999999998
72.06666666666666,-253.14999999999998
72.08333333333333,-253.14999999999998
72.1,-253.14999999999998
72.11666666666666,-253.14999999999998
72.13333333333334,-253.14999999999998
72.15,-253.14999999999998
72.16666666666667,-253.14999999999998
72.18333333333334,-253.14999999999998
72.2,-253.14999999999998
72.21666666666667,-253.14999999999998
72.23333333333333,-253.14999999999998
72.25,-253.14999999999998
72.26666666666667,-253.14999999999998
72.28333333333333,-253.14999999999998
72.3,-253.14999999999998
72.31666666666666,-253.14999999999998
72.33333333333333,-253.14999999999998
72.35,-253.14999999999998
72.36666666666666,-253.14999999999998
72.38333333333334,-253.14999999999998
72.4,-253.14999999999998
72.41666666666667,-253.14999999999998
72.43333333333334,-253.14999999999998
72.45,-253.14999999999998
72.46666666666667,-253.14999999999998
72.48333333333333,-253.14999999999998
72.5,-253.14999999999998
72.51666666666667,-253.14999999999998
72.53333333333333,-253.14999999999998
72.55,-253.14999999999998
72.56666666666666,-253.14999999999998
72.58333333333333,-253.14999999999998
72.6,-253.14999999999998
72.61666666666666,-253.14999999999998
72.63333333333334,-253.14999999999998
72.65,-253.14999999999998
72.66666666666667,-253.14999999999998
72.68333333333334,-253.14999999999998
72.7,-253.14999999999998
72.71666666666667,-253.14999999999998
72.73333333333333,-253.14999999999998
72.75,-253.14999999999998
72.76666666666667,-253.14999999999998
72.78333333333333,-253.14999999999998
72.8,-253.14999999999998
72.81666666666666,-253.14999999999998
72.83333333333333,-253.14999999999998
72.85,-253.14999999999998
72.86666666666666,-253.14999999999998
72.88333333333334,-253.14999999999998
72.9,-253.14999999999998
72.91666666666667,-253.14999999999998
72.93333333333334,-253.14999999999998
72.95,-253.14999999999998
72.96666666666667,-253.14999999999998
72.98333333333333,-253.14999999999998
73.0,-253.14999999999998
73.01666666666667,-253.14999999999998
73.03333333333333,-253.14999999999998
73.05,-253.14999999999998
73.06666666666666,-253.14999999999998
73.08333333333333,-253.14999999999998
73.1,-253.14999999999998
73.11666666666666,-253.14999999999998
73.13333333333334,-253.14999999999998
73.15,-253.14999999999998
73.16666666666667,-253.14999999999998
73.18333333333334,-253.14999999999998
73.2,-253.14999999999998
73.21666666666667,-253.14999999999998
73.23333333333333,-253.14999999999998
73.25,-253.14999999999998
73.26666666666667,-253.14999999999998
73.28333333333333,-253.14999999999998
73.3,-253.14999999999998
73.31666666666666,-253.14999999999998
73.33333333333333,-253.14999999999998
73.35,-253.14999999999998
73.36666666666666,-253.14999999999998
73.38333333333334,-253.14999999999998
73.4,-253.14999999999998
73.41666666666667,-253.14999999999998
73.43333333333334,-253.14999999999998
73.45,-253.14999999999998
73.46666666666667,-253.14999999999998
73.48333333333333,-253.14999999999998
73.5,-253.14999999999998
73.51666666666667,-253.14999999999998
73.53333333333333,-253.14999999999998
73.55,-253.14999999999998
73.56666666666666,-253.14999999999998
73.58333333333333,-253.14999999999998
73.6,-253.14999999999998
73.61666666666666,-253.14999999999998
73.63333333333334,-253.14999999999998
73.65,-253.14999999999998
73.66666666666667,-253.14999999999998
73.68333333333334,-253.14999999999998
73.7,-253.14999999999998
73.71666666666667,-253.14999999999998
73.73333333333333,-253.14999999999998
73.75,-253.14999999999998
73.76666666666667,-253.14999999999998
73.78333333333333,-253.14999999999998
73.8,-253.14999999999998
73.81666666666666,-253.14999999999998
73.83333333333333,-253.14999999999998
73.85,-253.14999999999998
73.86666666666666,-253.14999999999998
73.88333333333334,-253.14999999999998
73.9,-253.14999999999998
73.91666666666667,-253.14999999999998
73.93333333333334,-253.14999999999998
73.95,-253.14999999999998
73.96666666666667,-253.14999999999998
73.98333333333333,-253.14999999999998
74.0,-253.14999999999998
74.01666666666667,-253.14999999999998
74.03333333333333,-253.14999999999998
74.05,-253.14999999999998
74.06666666666666,-253.14999999999998
74.08333333333333,-253.14999999999998
74.1,-253.14999999999998
74.11666666666666,-253.14999999999998
74.13333333333334,-253.14999999999998
74.15,-253.14999999999998
74.16666666666667,-253.14999999999998
74.18333333333334,-253.14999999999998
74.2,-253.14999999999998
74.21666666666667,-253.14999999999998
74.23333333333333,-253.14999999999998
74.25,-253.14999999999998
74.26666666666667,-253.14999999999998
74.28333333333333,-253.14999999999998
74.3,-253.14999999999998
74.31666666666666,-253.14999999999998
74.33333333333333,-253.14999999999998
74.35,-253.14999999999998
74.36666666666666,-253.14999999999998
74.38333333333334,-253.14999999999998
74.4,-253.14999999999998
74.41666666666667,-253.14999999999998
74.43333333333334,-253.14999999999998
74.45,-253.14999999999998
74.46666666666667,-253.14999999999998
74.48333333333333,-253.14999999999998
74.5,-253.14999999999998
74.51666666666667,-253.14999999999998
74.53333333333333,-253.14999999999998
74.55,-253.14999999999998
74.56666666666666,-253.14999999999998
74.58333333333333,-253.14999999999998
74.6,-253.14999999999998
74.61666666666666,-253.14999999999998
74.63333333333334,-253.14999999999998
74.65,-253.14999999999998
74.66666666666667,-253.14999999999998
74.68333333333334,-253.14999999999998
74.7,-253.14999999999998
74.71666666666667,-253.14999999999998
74.73333333333333,-253.14999999999998
74.75,-253.14999999999998
74.76666666666667,-253.14999999999998
74.78333333333333,-253.14999999999998
74.8,-253.14999999999998
74.81666666666666,-253.14999999999998
74.83333333333333,-253.14999999999998
74.85,-253.14999999999998
74.86666666666666,-253.14999999999998
74.88333333333334,-253.14999999999998
74.9,-253.14999999999998
74.91666666666667,-253.14999999999998
74.93333333333334,-253.14999999999998
74.95,-253.14999999999998
74.96666666666667,-253.14999999999998
74.98333333333333,-253.14999999999998
75.0,-253.14999999999998
75.01666666666667,-253.14999999999998
75.03333333333333,-253.14999999999998
75.05,-253.14999999999998
75.06666666666666,-253.14999999999998
75.08333333333333,-253.14999999999998
75.1,-253.14999999999998
75.11666666666666,-253.14999999999998
75.13333333333334,-253.14999999999998
75.15,-253.14999999999998
75.16666666666667,-253.14999999999998
75.18333333333334,-253.14999999999998
75.2,-253.14999999999998
75.21666666666667,-253.14999999999998
75.23333333333333,-253.14999999999998
75.25,-253.14999999999998
75.26666666666667,-253.14999999999998
75.28333333333333,-253.14999999999998
75.3,-253.14999999999998
75.31666666666666,-253.14999999999998
75.33333333333333,-253.14999999999998
75.35,-253.14999999999998
75.36666666666666,-253.14999999999998
75.38333333333334,-253.14999999999998
75.4,-253.14999999999998
75.41666666666667,-253.14999999999998
75.43333333333334,-253.14999999999998
75.45,-253.14999999999998
75.46666666666667,-253.14999999999998
75.48333333333333,-253.14999999999998
75.5,-253.14999999999998
75.51666666666667,-253.14999999999998
75.53333333333333,-253.14999999999998
75.55,-253.14999999999998
75.56666666666666,-253.14999999999998
75.58333333333333,-253.14999999999998
75.6,-253.14999999999998
75.61666666666666,-253.14999999999998
75.63333333333334,-253.14999999999998
75.65,-253.14999999999998
75.66666666666667,-253.14999999999998
75.68333333333334,-253.14999999999998
75.7,-253.14999999999998
75.71666666666667,-253.14999999999998
75.73333333333333,-253.14999999999998
75.75,-253.14999999999998
75.76666666666667,-253.14999999999998
75.78333333333333,-253.14999999999998
75.8,-253.14999999999998
75.81666666666666,-253.14999999999998
75.83333333333333,-253.14999999999998
75.85,-253.14999999999998
75.86666666666666,-253.14999999999998
75.88333333333334,-253.14999999999998
75.9,-253.14999999999998
75.91666666666667,-253.14999999999998
75.93333333333334,-253.14999999999998
75.95,-253.14999999999998
75.96666666666667,-253.14999999999998
75.98333333333333,-253.14999999999998
76.0,-253.14999999999998
76.01666666666667,-253.14999999999998
76.03333333333333,-253.14999999999998
76.05,-253.14999999999998
76.06666666666666,-253.14999999999998
76.08333333333333,-253.14999999999998
76.1,-253.14999999999998
76.11666666666666,-253.14999999999998
76.13333333333334,-253.14999999999998
76.15,-253.14999999999998
76.16666666666667,-253.14999999999998
76.18333333333334,-253.14999999999998
76.2,-253.14999999999998
76.21666666666667,-253.14999999999998
76.23333333333333,-253.14999999999998
76.25,-253.14999999999998
76.26666666666667,-253.14999999999998
76.28333333333333,-253.14999999999998
76.3,-253.14999999999998
76.31666666666666,-253.14999999999998
76.33333333333333,-253.14999999999998
76.35,-253.14999999999998
76.36666666666666,-253.14999999999998
76.38333333333334,-253.14999999999998
76.4,-253.14999999999998
76.41666666666667,-253.14999999999998
76.43333333333334,-253.14999999999998
76.45,-253.14999999999998
76.46666666666667,-253.14999999999998
76.48333333333333,-253.14999999999998
76.5,-253.14999999999998
76.51666666666667,-253.14999999999998
76.53333333333333,-253.14999999999998
76.55,-253.14999999999998
76.56666666666666,-253.14999999999998
76.58333333333333,-253.14999999999998
76.6,-253.14999999999998
76.61666666666666,-253.14999999999998
76.63333333333334,-253.14999999999998
76.65,-253.14999999999998
76.66666666666667,-253.14999999999998
76.68333333333334,-253.14999999999998
76.7,-253.14999999999998
76.71666666666667,-253.14999999999998
76.73333333333333,-253.14999999999998
76.75,-253.14999999999998
76.76666666666667,-253.14999999999998
76.78333333333333,-253.14999999999998
76.8,-253.14999999999998
76.81666666666666,-253.14999999999998
76.83333333333333,-253.14999999999998
76.85,-253.14999999999998
76.86666666666666,-253.14999999999998
76.88333333333334,-253.14999999999998
76.9,-253.14999999999998
76.91666666666667,-253.14999999999998
76.93333333333334,-253.14999999999998
76.95,-253.14999999999998
76.96666666666667,-253.14999999999998
76.98333333333333,-253.14999999999998
77.0,-253.14999999999998
77.01666666666667,-253.14999999999998
77.03333333333333,-253.14999999999998
77.05,-253.14999999999998
77.06666666666666,-253.14999999999998
77.08333333333333,-253.14999999999998
77.1,-253.14999999999998
77.11666666666666,-253.14999999999998
77.13333333333334,-253.14999999999998
77.15,-253.14999999999998
77.16666666666667,-253.14999999999998
77.18333333333334,-253.14999999999998
77.2,-253.14999999999998
77.21666666666667,-253.14999999999998
77.23333333333333,-253.14999999999998
77.25,-253.14999999999998
77.26666666666667,-253.14999999999998
77.28333333333333,-253.14999999999998
77.3,-253.14999999999998
77.31666666666666,-253.14999999999998
77.33333333333333,-253.14999999999998
77.35,-253.14999999999998
77.36666666666666,-253.14999999999998
77.38333333333334,-253.14999999999998
77.4,-253.14999999999998
77.41666666666667,-253.14999999999998
77.43333333333334,-253.14999999999998
77.45,-253.14999999999998
77.46666666666667,-253.14999999999998
77.48333333333333,-253.14999999999998
77.5,-253.14999999999998
77.51666666666667,-253.14999999999998
77.53333333333333,-253.14999999999998
77.55,-253.14999999999998
77.56666666666666,-253.14999999999998
77.58333333333333,-253.14999999999998
77.6,-253.14999999999998
77.61666666666666,-253.14999999999998
77.63333333333334,-253.14999999999998
77.65,-253.14999999999998
77.66666666666667,-253.14999999999998
77.68333333333334,-253.14999999999998
77.7,-253.14999999999998
77.71666666666667,-253.14999999999998
77.73333333333333,-253.14999999999998
77.75,-253.14999999999998
77.76666666666667,-253.14999999999998
77.78333333333333,-253.14999999999998
77.8,-253.14999999999998
77.81666666666666,-253.14999999999998
77.83333333333333,-253.14999999999998
77.85,-253.14999999999998
77.86666666666666,-253.14999999999998
77.88333333333334,-253.14999999999998
77.9,-253.14999999999998
77.91666666666667,-253.14999999999998
77.93333333333334,-253.14999999999998
77.95,-253.14999999999998
77.96666666666667,-253.14999999999998
77.98333333333333,-253.14999999999998
78.0,-253.14999999999998
78.01666666666667,-253.14999999999998
78.03333333333333,-253.14999999999998
78.05,-253.14999999999998
78.06666666666666,-253.14999999999998
78.08333333333333,-253.14999999999998
78.1,-253.14999999999998
78.11666666666666,-253.14999999999998
78.13333333333334,-253.14999999999998
78.15,-253.14999999999998
78.16666666666667,-253.14999999999998
78.18333333333334,-253.14999999999998
78.2,-253.14999999999998
78.21666666666667,-253.14999999999998
78.23333333333333,-253.14999999999998
78.25,-253.14999999999998
78.26666666666667,-253.14999999999998
78.28333333333333,-253.14999999999998
78.3,-253.14999999999998
78.31666666666666,-253.14999999999998
78.33333333333333,-253.14999999999998
78.35,-253.14999999999998
78.36666666666666,-253.14999999999998
78.38333333333334,-253.14999999999998
78.4,-253.14999999999998
78.41666666666667,-253.14999999999998
78.43333333333334,-253.14999999999998
78.45,-253.14999999999998
78.46666666666667,-253.14999999999998
78.48333333333333,-253.14999999999998
78.5,-253.14999999999998
78.51666666666667,-253.14999999999998
78.53333333333333,-253.14999999999998
78.55,-253.14999999999998
78.56666666666666,-253.14999999999998
78.58333333333333,-253.14999999999998
78.6,-253.14999999999998
78.61666666666666,-253.14999999999998
78.63333333333334,-253.14999999999998
78.65,-253.14999999999998
78.66666666666667,-253.14999999999998
78.68333333333334,-253.14999999999998
78.7,-253.14999999999998
78.71666666666667,-253.14999999999998
78.73333333333333,-253.14999999999998
78.75,-253.14999999999998
78.76666666666667,-253.14999999999998
78.78333333333333,-253.14999999999998
78.8,-253.14999999999998
78.81666666666666,-253.14999999999998
