,Room Exergy Demand [W]
72.0,3101.20932905712
72.01666666666667,3098.906336406491
72.03333333333333,3096.6044441300064
72.05,3094.3036553420184
72.06666666666666,3092.0039731936686
72.08333333333333,3089.7054008712753
72.1,3087.4079415946517
72.11666666666666,3085.111598615505
72.13333333333334,3082.8163752157443
72.15,3080.522274705808
72.16666666666667,3078.229300422994
72.18333333333334,3075.9374557297724
72.2,3073.646744011997
72.21666666666667,3071.3571686773557
72.23333333333333,3069.068733153524
72.25,3066.781440886627
72.26666666666667,3064.4952953392976
72.28333333333333,3062.2102999890667
72.3,3059.9264583264307
72.31666666666666,3057.6437738530626
72.33333333333333,3055.36225007968
72.35,3053.0818905241217
72.36666666666666,3050.802698708987
72.38333333333334,3048.5246781592673
72.4,3046.2478323997907
72.41666666666667,3043.972164952506
72.43333333333334,3041.6976793333965
72.45,3039.4243790494343
72.46666666666667,3037.152267595186
72.48333333333333,3034.881348449087
72.5,3032.6116250699483
72.51666666666667,3030.343100892776
72.53333333333333,3028.075779324864
72.55,3025.8096637414924
72.56666666666666,3023.5447574817554
72.58333333333333,3021.2810638441624
72.6,3019.018586082205
72.61666666666666,3016.7573274002743
72.63333333333334,3014.4972909492094
72.65,3012.23847982219
72.66666666666667,3009.980897050689
72.68333333333334,3007.7245456005203
72.7,3005.469428368291
72.71666666666667,3003.2155481778423
72.73333333333333,3000.9629077770023
72.75,2998.711509834763
72.76666666666667,2996.461356938496
72.78333333333333,2994.212451591558
72.8,2991.964796211297
72.81666666666666,2989.7183931273235
72.83333333333333,2987.473244580036
72.85,2985.229352719479
72.86666666666666,2982.9867196046553
72.88333333333334,2980.745347202989
72.9,2978.5052373901613
72.91666666666667,2976.2663919502525
72.93333333333334,2974.028812576254
72.95,2971.7925008705893
72.96666666666667,2969.557458346305
72.98333333333333,2967.3236864280766
73.0,2965.091186453826
73.01666666666667,2962.6820264052185
73.03333333333333,2960.2753281791165
73.05,2957.871086424863
73.06666666666666,2955.4692957457
73.08333333333333,2953.0699507009804
73.1,2950.673045808411
