,Room Exergy Demand [W]
72.0,-0.07535001914159146
72.01666666666667,-0.0779933144616659
72.03333333333333,-0.07959115970339507
72.05,-0.08057973292626561
72.06666666666666,-0.08121246979159921
72.08333333333333,-0.08163677415176247
72.1,-0.0819384915814253
72.11666666666666,-0.08216770287659539
72.13333333333334,-0.08235369055761495
72.15,-0.08251362804247023
72.16666666666667,-0.08265762790974146
72.18333333333334,-0.08279167746210755
72.2,-0.08291934763328959
72.21666666666667,-0.08304278922480166
72.23333333333333,-0.08316331469714543
72.25,-0.08328173872316896
72.26666666666667,-0.08339857812455656
72.28333333333333,-0.08351416969586997
72.3,-0.08362873997452633
72.31666666666666,-0.08374244687876745
72.33333333333333,-0.08385540468024197
72.35,-0.08396769922077055
72.36666666666666,-0.0840793972702539
72.38333333333334,-0.08419055238782683
72.4,-0.08430120869957294
72.41666666666667,-0.0844114033321228
72.43333333333334,-0.08452116810330453
72.45,-0.08463053066452042
72.46666666666667,-0.08473951533818642
72.48333333333333,-0.084848143726813
72.5,-0.08495643520036769
72.51666666666667,-0.08506440724800847
72.53333333333333,-0.08517207578017501
72.55,-0.08527945537289884
72.56666666666666,-0.08538655946514437
72.58333333333333,-0.08549340052717504
72.6,-0.08559999019725621
72.61666666666666,-0.08570633941323272
72.63333333333334,-0.08581245850109315
72.65,-0.08591835727446656
72.66666666666667,-0.08602404510878217
72.68333333333334,-0.08612953099713246
72.7,-0.08623482361603325
72.71666666666667,-0.08633993136632095
72.73333333333333,-0.08644486241726558
72.75,-0.08654962473892233
72.76666666666667,-0.08665422612470591
72.78333333333333,-0.08675867422294231
72.8,-0.08686297655027563
72.81666666666666,-0.08696714050873522
72.83333333333333,-0.08707117340411415
72.85,-0.0871750824451162
72.86666666666666,-0.08727887474810517
72.88333333333334,-0.08738255735485453
72.9,-0.08748613723282249
72.91666666666667,-0.08758962126577469
72.93333333333334,-0.0876930162623447
72.95,-0.08779632895497942
72.96666666666667,-0.08789956599292864
72.98333333333333,-0.08800273395027888
73.0,-0.08810583930456967
73.01666666666667,-0.08551429775948668
73.03333333333333,-0.08401233091998338
73.05,-0.08314513280678522
73.06666666666666,-0.08264854797048979
73.08333333333333,-0.08236899633585859
73.1,-0.0822170687569132
73.11666666666666,-0.0821406245219658
73.13333333333334,-0.08210918746318198
73.15,-0.08210489024814692
73.16666666666667,-0.0821172151025952
73.18333333333334,-0.08213993670979453
73.2,-0.08216934317298503
73.21666666666667,-0.08220319931017171
73.23333333333333,-0.08224014139730064
73.25,-0.08227932302703987
73.26666666666667,-0.08232020725303736
73.28333333333333,-0.08236244414900112
73.3,-0.08240579828537915
73.31666666666666,-0.0824501055243432
73.33333333333333,-0.08249524706190071
73.35,-0.08254113360857875
73.36666666666666,-0.08258769570778048
73.38333333333334,-0.08263487762748313
73.4,-0.08268263345573744
73.41666666666667,-0.08273092454441912
73.43333333333334,-0.08277971778315836
73.45,-0.08282898439294938
73.46666666666667,-0.08287869906384429
73.48333333333333,-0.0829288393138806
73.5,-0.08297938499615906
73.51666666666667,-0.08303031792045572
73.53333333333333,-0.08308162154060839
73.55,-0.08313328070404664
73.56666666666666,-0.083185281450349
73.58333333333333,-0.08323761083112857
73.6,-0.08329025676663136
73.61666666666666,-0.08334320790870522
73.63333333333334,-0.083396453556071
73.65,-0.08344998354468176
73.66666666666667,-0.08350378818061889
73.68333333333334,-0.08355785815889111
73.7,-0.08361218452625911
73.71666666666667,-0.08366675861774983
73.73333333333333,-0.08372157201415859
