,Room Heat Gain [W]
72.0,-1.2089712898753382
72.01666666666667,-1.2505232168226332
72.03333333333333,-1.2752685010505653
72.05,-1.2902251909467395
72.06666666666666,-1.2994682566301738
72.08333333333333,-1.3053662019653833
72.1,-1.3092974945167497
72.11666666666666,-1.312065788657886
72.13333333333334,-1.3141406911223992
72.15,-1.315797448693047
72.16666666666667,-1.317198049919807
72.18333333333334,-1.3184383544139564
72.2,-1.3195755106624802
72.21666666666667,-1.3206439293943124
72.23333333333333,-1.3216646059567363
72.25,-1.3226505738525853
72.26666666666667,-1.3236101045912316
72.28333333333333,-1.324548592341398
72.3,-1.3254696693726904
72.31666666666666,-1.3263758714379794
72.33333333333333,-1.3272690367027584
72.35,-1.3281505487620506
72.36666666666666,-1.3290214860734522
72.38333333333334,-1.32988271555652
72.4,-1.3307349529293637
72.41666666666667,-1.3315788016007295
72.43333333333334,-1.3324147796946817
72.45,-1.3332433383300517
72.46666666666667,-1.3340648750263426
72.48333333333333,-1.3348797434635646
72.5,-1.3356882612895637
72.51666666666667,-1.336490715765361
72.53333333333333,-1.3372873686086526
72.55,-1.3380784599114426
72.56666666666666,-1.3388642113056752
72.58333333333333,-1.3396448286623126
72.6,-1.340420504283899
72.61666666666666,-1.341191419008222
72.63333333333334,-1.3419577436310344
72.65,-1.342719640494003
72.66666666666667,-1.3434772646706885
72.68333333333334,-1.3442307648622622
72.7,-1.344980284444091
72.71666666666667,-1.3457259621206503
72.73333333333333,-1.3464679326279716
72.75,-1.347206327250236
72.76666666666667,-1.3479412741822367
72.78333333333333,-1.348672899029998
72.8,-1.3494013250275203
72.81666666666666,-1.3501266733095236
72.83333333333333,-1.3508490632034713
72.85,-1.351568612222233
72.86666666666666,-1.3522854361436203
72.88333333333334,-1.3529996492909049
72.9,-1.353711364541808
72.91666666666667,-1.3544206931882552
72.93333333333334,-1.355127745073787
72.95,-1.3558326285820386
72.96666666666667,-1.3565354505332683
72.98333333333333,-1.3572363163133863
73.0,-1.3579353295489909
73.01666666666667,-1.3175950924834372
73.03333333333333,-1.2940609570848514
73.05,-1.2803148824789483
73.06666666666666,-1.2722819058922596
73.08333333333333,-1.2675935307427153
73.1,-1.2648712967094828
73.11666666666666,-1.2633115565964848
73.13333333333334,-1.2624447105117573
73.15,-1.2619955186857623
73.16666666666667,-1.2618019993277965
73.18333333333334,-1.261768299573411
73.2,-1.2618372773512418
73.21666666666667,-1.2619745284901
73.23333333333333,-1.2621590639295996
73.25,-1.2623778563613541
73.26666666666667,-1.2626226403349543
73.28333333333333,-1.2628880277720933
73.3,-1.2631703920161574
73.31666666666666,-1.2634672031483964
73.33333333333333,-1.2637766287056365
73.35,-1.2640972903797774
73.36666666666666,-1.2644281151196235
73.38333333333334,-1.2647682411896919
73.4,-1.2651169581163686
73.41666666666667,-1.2654736673640854
73.43333333333334,-1.265837855776211
73.45,-1.2662090770073973
73.46666666666667,-1.2665869382473829
73.48333333333333,-1.2669710903482458
73.5,-1.267361220231866
73.51666666666667,-1.267757045059625
73.53333333333333,-1.2681583074163731
73.55,-1.2685647714511712
73.56666666666666,-1.2689762197727759
73.58333333333333,-1.269392450675832
73.6,-1.26981327593168
73.61666666666666,-1.270238518680147
73.63333333333334,-1.2706680121219658
73.65,-1.2711015978340128
73.66666666666667,-1.2715391247352577
73.68333333333334,-1.271980447839936
73.7,-1.2724254276828864
73.71666666666667,-1.272873929345648
73.73333333333333,-1.2733258218034431
73.75,-1.2737809775911348
73.76666666666667,-1.2742392721950637
73.78333333333333,-1.274700583745683
73.8,-1.275164792557977
73.81666666666666,-1.275631781231929
73.83333333333333,-1.2761014340593193
73.85,-1.2765736371282552
73.86666666666666,-1.2770482781823982
73.88333333333334,-1.27752524639086
73.9,-1.2780044324109743
73.91666666666667,-1.2784857285550364
73.93333333333334,-1.278969028244334
73.95,-1.2794542266367595
73.96666666666667,-1.2799412201459897
73.98333333333333,-1.2804299068628855
74.0,-1.2809201862465065
74.01666666666667,-1.2506338345009833
74.03333333333333,-1.232954693002921
74.05,-1.2226190614219226
74.06666666666666,-1.2165705511774074
74.08333333333333,-1.2130326263299291
74.1,-1.2109712814819735
74.11666666666666,-1.2097836242370856
74.13333333333334,-1.209117301298435
74.15,-1.208765732755895
74.16666666666667,-1.2086072858254284
74.18333333333334,-1.2085699278139903
74.2,-1.2086106629960491
74.21666666666667,-1.2087035525431475
74.23333333333333,-1.2088327227679505
74.25,-1.2089882750353809
74.26666666666667,-1.2091638858960474
74.28333333333333,-1.2093553935483063
74.3,-1.2095599612550358
74.31666666666666,-1.209775578424448
74.33333333333333,-1.2100007612265018
74.35,-1.2102343705497787
74.36666666666666,-1.2104754996630012
74.38333333333334,-1.2107234040841528
74.4,-1.2109774564581586
74.41666666666667,-1.211237117035959
74.43333333333334,-1.2115019137040235
74.45,-1.211771427969264
74.46666666666667,-1.212045285176676
74.48333333333333,-1.2123231466379063
74.5,-1.2126047043181036
74.51666666666667,-1.2128896760982115
74.53333333333333,-1.2131778023915407
74.55,-1.2134688429160028
74.56666666666666,-1.2137625745021068
74.58333333333333,-1.2140587887522238
74.6,-1.2143572905232305
74.61666666666666,-1.2146578962679844
74.63333333333334,-1.2149604327206815
74.65,-1.2152647358600766
74.66666666666667,-1.2155706499450845
74.68333333333334,-1.2158780265124582
74.7,-1.2161867238100663
74.71666666666667,-1.2164966060358589
74.73333333333333,-1.2168075428442837
74.75,-1.2171194089320276
74.76666666666667,-1.2174320834281238
74.78333333333333,-1.2177454496407638
74.8,-1.2180593948760665
74.81666666666666,-1.218373809987391
74.83333333333333,-1.2186885891815866
74.85,-1.2190036299540679
74.86666666666666,-1.2193188327086015
74.88333333333334,-1.219634100805994
74.9,-1.2199493404919546
74.91666666666667,-1.2202644604932933
74.93333333333334,-1.2205793723092484
74.95,-1.2208939898259814
74.96666666666667,-1.2212082295480136
74.98333333333333,-1.221522010340262
75.0,-1.2218352534889012
75.01666666666667,-1.191369757641102
75.03333333333333,-1.173509387506086
75.05,-1.1629904665289663
75.06666666666666,-1.156756630645532
75.08333333333333,-1.1530313689335192
75.1,-1.1507807012842477
75.11666666666666,-1.149401761117224
75.13333333333334,-1.1485422212529859
75.15,-1.147995528041732
75.16666666666667,-1.1476400751789546
75.18333333333334,-1.1474038567080393
75.2,-1.1472439036957287
75.21666666666667,-1.1471343041086282
75.23333333333333,-1.147059211059756
75.25,-1.1470087527144641
75.26666666666667,-1.1469766323441795
75.28333333333333,-1.146958714784296
75.3,-1.1469521896532568
75.31666666666666,-1.1469550727019546
75.33333333333333,-1.146965906304725
75.35,-1.146983577088622
75.36666666666666,-1.1470072040454093
75.38333333333334,-1.147036067994577
75.4,-1.1470695666714468
75.41666666666667,-1.1471071850565446
75.43333333333334,-1.1471484754844368
75.45,-1.1471930434932802
75.46666666666667,-1.1472405380527866
75.48333333333333,-1.1472906438640773
75.5,-1.1473430758464171
75.51666666666667,-1.1473975743336118
75.53333333333333,-1.1474539018973853
75.55,-1.1475118399130224
75.56666666666666,-1.1475711864187208
75.58333333333333,-1.14763175390176
75.6,-1.147693367476495
75.61666666666666,-1.147755863555858
75.63333333333334,-1.147819088270444
75.65,-1.1478828966789782
75.66666666666667,-1.1479471514413793
75.68333333333334,-1.148011722350854
75.7,-1.1480764850807645
75.71666666666667,-1.1481413212031535
75.73333333333333,-1.1482061169793876
75.75,-1.1482707634588072
75.76666666666667,-1.1483351555568333
75.78333333333333,-1.1483991921542989
75.8,-1.1484627754747938
75.81666666666666,-1.1485258109607306
75.83333333333333,-1.1485882071887317
75.85,-1.1486498752497483
75.86666666666666,-1.1487107291354277
75.88333333333334,-1.148770685349094
75.9,-1.148829662674128
75.91666666666667,-1.1488875823186542
75.93333333333334,-1.1489443677613205
75.95,-1.148999944705065
75.96666666666667,-1.1490542409793003
75.98333333333333,-1.1491071865499787
76.0,-1.1491587135071313
76.01666666666667,-1.1902462560798843
76.03333333333333,-1.2145244988609345
76.05,-1.229011519919186
76.06666666666666,-1.2377823191552124
76.08333333333333,-1.2432054307453049
76.1,-1.2466593527185068
76.11666666666666,-1.2489477700752256
76.13333333333334,-1.250540320415712
76.15,-1.2517122813635373
76.16666666666667,-1.2526256724695637
76.18333333333334,-1.2533763842531698
76.2,-1.254021596250171
76.21666666666667,-1.2545957499934806
76.23333333333333,-1.2551198716527476
76.25,-1.2556070253769576
76.26666666666667,-1.2560655131488754
76.28333333333333,-1.2565007593060726
76.3,-1.2569164264718742
76.31666666666666,-1.257315080044782
76.33333333333333,-1.257698587790325
76.35,-1.2580683626404758
76.36666666666666,-1.2584255120025167
76.38333333333334,-1.2587709315449198
76.4,-1.2591053652568158
76.41666666666667,-1.2594294446574623
76.43333333333334,-1.2597437154747089
76.45,-1.2600486561913538
76.46666666666667,-1.2603446912864606
76.48333333333333,-1.2606322010772752
76.5,-1.2609115293524156
76.51666666666667,-1.2611829892765702
76.53333333333333,-1.2614468681441242
76.55,-1.2617034310855615
76.56666666666666,-1.2619529245607888
76.58333333333333,-1.2621955788470283
76.6,-1.2624316103147066
76.61666666666666,-1.2626612234682701
76.63333333333334,-1.262884612508257
76.65,-1.2631019628379212
76.66666666666667,-1.263313452045092
76.68333333333334,-1.2635192513514844
76.7,-1.2637195261993535
76.71666666666667,-1.2639144368854431
76.73333333333333,-1.264104139656168
76.75,-1.2642887868631534
76.76666666666667,-1.2644685275507375
76.78333333333333,-1.2646435078470708
76.8,-1.2648138711924426
76.81666666666666,-1.26497975886532
76.83333333333333,-1.2651413096727386
76.85,-1.2652986606099754
76.86666666666666,-1.2654519467408287
76.88333333333334,-1.2656013013310106
76.9,-1.2657468557800713
76.91666666666667,-1.265888739863961
76.93333333333334,-1.2660270816450065
76.95,-1.2661620074335436
76.96666666666667,-1.2662936418327868
76.98333333333333,-1.2664221075673292
77.0,-1.2665475256637213
77.01666666666667,-1.30770751536611
77.03333333333333,-1.3320569422947757
77.05,-1.3466140615095052
77.06666666666666,-1.3554540459282787
77.08333333333333,-1.3609455986826713
77.1,-1.364467382555722
77.11666666666666,-1.3668232432183838
77.13333333333334,-1.3684829746892622
77.15,-1.369722006910312
77.16666666666667,-1.370702507412337
77.18333333333334,-1.3715205104724646
77.2,-1.372233335042741
77.21666666666667,-1.3728755578995788
77.23333333333333,-1.3734683360342388
77.25,-1.3740248602944878
77.26666666666667,-1.3745535549345125
77.28333333333333,-1.3750599624710655
77.3,-1.3755478592538415
77.31666666666666,-1.376019920328205
77.33333333333333,-1.3764781189851267
77.35,-1.3769239693444282
77.36666666666666,-1.377358675930797
77.38333333333334,-1.3777832274434634
77.4,-1.3781984567521854
77.41666666666667,-1.3786050802316216
77.43333333333334,-1.3790037244719011
77.45,-1.3793949446439153
77.46666666666667,-1.379779238019834
77.48333333333333,-1.3801570537776722
77.5,-1.380528800568618
77.51666666666667,-1.3808948525327045
77.53333333333333,-1.381255554027075
77.55,-1.3816112234502573
77.56666666666666,-1.3819621566332898
77.58333333333333,-1.3823086294824407
77.6,-1.3826509002842462
