,Indoor Air Temperature [°C]
72.0,16.022913134841133
72.01666666666667,16.02189737834459
72.03333333333333,16.02086152211467
72.05,16.019813517085993
72.06666666666666,16.018758004236645
72.08333333333333,16.017697700691542
72.1,16.016634203894284
72.11666666666666,16.015568458508028
72.13333333333334,16.01450102775067
72.15,16.013432251266806
72.16666666666667,16.012362337123307
72.18333333333334,16.0112914155236
72.2,16.01021957025148
72.21666666666667,16.009146857139967
72.23333333333333,16.008073314968385
72.25,16.00699897192942
72.26666666666667,16.005923849497037
72.28333333333333,16.004847964763712
72.3,16.00377133187152
72.31666666666666,16.002693962902924
72.33333333333333,16.00161586844729
72.35,16.000537057970064
72.36666666666666,15.999457540060803
72.38333333333334,15.998377322604767
72.4,15.997296412905996
72.41666666666667,15.99621481777831
72.43333333333334,15.995132543614659
72.45,15.994049596441698
72.46666666666667,15.992965981963039
72.48333333333333,15.99188170559512
72.5,15.99079677249631
72.51666666666667,15.989711187591638
72.53333333333333,15.988624955593593
72.55,15.98753808101958
72.56666666666666,15.98645056820709
72.58333333333333,15.985362421326272
72.6,15.984273644391124
72.61666666666666,15.98318424126876
72.63333333333334,15.982094215687596
72.65,15.981003571244116
72.66666666666667,15.979912311408896
72.68333333333334,15.97882043953166
72.7,15.977727958845719
72.71666666666667,15.976634872471777
72.73333333333333,15.975541183421
72.75,15.974446894597975
72.76666666666667,15.973352008803147
72.78333333333333,15.972256528734874
72.8,15.971160456991527
72.81666666666666,15.97006379607302
72.83333333333333,15.968966548382355
72.85,15.96786871622703
72.86666666666666,15.966770301820588
72.88333333333334,15.965671307283628
72.9,15.964571734645176
72.91666666666667,15.963471585843706
72.93333333333334,15.96237086272862
72.95,15.961269567061152
72.96666666666667,15.96016770051591
72.98333333333333,15.959065264681783
73.0,15.957962261063528
73.01666666666667,15.956892024416163
73.03333333333333,15.95584090372813
73.05,15.954800948498189
73.06666666666666,15.953767518175596
73.08333333333333,15.952737896056988
73.1,15.951710485114404
73.11666666666666,15.950684341094416
